"Variable","Number_of_groups_G","Group","Neighbor_group","Silhouette_width"
"ZP2O5",2,1,2,0.541978935863373
"ZAl2O3",2,1,2,0.51540063141381
"ZCaO",2,1,2,0.569395324241973
"ZFe2O3",2,2,1,0.616561131408057
"ZK2O",2,1,2,0.568120036528269
"ZMgO",2,1,2,0.54939123158267
"ZNa2O",2,1,2,0.567759911189741
"ZSO3",2,1,2,0.19662517574106
"ZSiO2",2,1,2,0.360010092758279
"ZCd",2,2,1,0.602466392856119
"ZCr",2,1,2,0.595719552136403
"ZCu",2,1,2,0.507866748139059
"ZMn",2,1,2,0.599605503326495
"ZMo",2,1,2,-0.143765363597889
"ZNi",2,1,2,0.468683176460351
"ZZn",2,2,1,0.665404052653258
"ZF",2,2,1,0.730338008318819
"ZP2O5",3,1,2,0.40853506016127
"ZAl2O3",3,1,2,0.524416495087685
"ZCaO",3,2,1,0.310970316921806
"ZFe2O3",3,3,1,0.600518709713009
"ZK2O",3,2,1,0.344166041713917
"ZMgO",3,1,2,0.32837665531673
"ZNa2O",3,1,2,0.466619199559183
"ZSO3",3,2,3,0.401990876682809
"ZSiO2",3,2,1,0.50144649424377
"ZCd",3,3,2,0.571758467302594
"ZCr",3,2,1,0.432079900693206
"ZCu",3,2,1,0.179318315971498
"ZMn",3,2,1,0.511930027362446
"ZMo",3,1,3,0.0951084081539307
"ZNi",3,2,1,0.537190592013205
"ZZn",3,3,1,0.651600590800384
"ZF",3,3,2,0.724289600551133
"ZP2O5",4,1,2,0.620110955683438
"ZAl2O3",4,1,2,0.701184646624296
"ZCaO",4,2,1,0.162539106984878
"ZFe2O3",4,3,4,0.432221309302237
"ZK2O",4,2,1,0.200024483670584
"ZMgO",4,1,2,0.56678520061382
"ZNa2O",4,1,2,0.719803668370667
"ZSO3",4,2,3,0.401990876682809
"ZSiO2",4,2,1,0.454856175082513
"ZCd",4,3,2,0.571758467302594
"ZCr",4,2,1,0.306848743234506
"ZCu",4,2,1,0.0447525726025897
"ZMn",4,2,1,0.412646129859786
"ZMo",4,4,1,0
"ZNi",4,2,1,0.481353932611937
"ZZn",4,3,4,0.486328184724053
"ZF",4,3,4,0.664917215569367
