"Scenario","Variable","Group"
"uniform_k7","ZP2O5",1
"uniform_k7","ZAl2O3",1
"uniform_k7","ZCaO",2
"uniform_k7","ZFe2O3",3
"uniform_k7","ZK2O",2
"uniform_k7","ZMgO",1
"uniform_k7","ZNa2O",1
"uniform_k7","ZSO3",2
"uniform_k7","ZSiO2",2
"uniform_k7","ZCd",3
"uniform_k7","ZCr",2
"uniform_k7","ZCu",2
"uniform_k7","ZMn",2
"uniform_k7","ZMo",1
"uniform_k7","ZNi",2
"uniform_k7","ZZn",3
"uniform_k7","ZF",3
"uniform_k8","ZP2O5",1
"uniform_k8","ZAl2O3",1
"uniform_k8","ZCaO",2
"uniform_k8","ZFe2O3",3
"uniform_k8","ZK2O",2
"uniform_k8","ZMgO",1
"uniform_k8","ZNa2O",1
"uniform_k8","ZSO3",2
"uniform_k8","ZSiO2",2
"uniform_k8","ZCd",3
"uniform_k8","ZCr",2
"uniform_k8","ZCu",2
"uniform_k8","ZMn",2
"uniform_k8","ZMo",1
"uniform_k8","ZNi",2
"uniform_k8","ZZn",3
"uniform_k8","ZF",3
"uniform_k9","ZP2O5",1
"uniform_k9","ZAl2O3",1
"uniform_k9","ZCaO",2
"uniform_k9","ZFe2O3",3
"uniform_k9","ZK2O",2
"uniform_k9","ZMgO",1
"uniform_k9","ZNa2O",1
"uniform_k9","ZSO3",2
"uniform_k9","ZSiO2",2
"uniform_k9","ZCd",3
"uniform_k9","ZCr",2
"uniform_k9","ZCu",2
"uniform_k9","ZMn",2
"uniform_k9","ZMo",3
"uniform_k9","ZNi",2
"uniform_k9","ZZn",3
"uniform_k9","ZF",3
"affected_variables_excluded","ZP2O5",1
"affected_variables_excluded","ZAl2O3",1
"affected_variables_excluded","ZCaO",2
"affected_variables_excluded","ZFe2O3",3
"affected_variables_excluded","ZMgO",1
"affected_variables_excluded","ZNa2O",1
"affected_variables_excluded","ZSO3",2
"affected_variables_excluded","ZSiO2",2
"affected_variables_excluded","ZCd",3
"affected_variables_excluded","ZCr",2
"affected_variables_excluded","ZMn",2
"affected_variables_excluded","ZZn",3
"affected_variables_excluded","ZF",3
