"Omitted_time","Number_of_groups_G","Mean_silhouette_width","Minimum_silhouette_width","Number_of_negative_silhouettes","Smallest_group_size","Largest_group_size"
"t0",2,0.539804958908623,0.144965706811599,0,4,13
"t0",3,0.549402685653389,0.084796076441852,0,4,9
"t0",4,0.544348425571463,0,0,1,9
"t12",2,0.64064454300608,0.323147138152801,0,5,12
"t12",3,0.515142813384946,0.17784248399337,0,2,10
"t12",4,0.507248587442897,0,0,1,10
"t24",2,0.498044565855412,-0.18807297749248,1,4,13
"t24",3,0.48696711054905,0.0490088430755756,0,4,8
"t24",4,0.475490353812785,0,0,1,8
"t36",2,0.512305861196078,-0.153087842909035,1,4,13
"t36",3,0.463690028505306,0.0895222333466074,0,4,8
"t36",4,0.443522256796002,0,0,1,8
"t48",2,0.510805610232163,-0.119049142858141,1,4,13
"t48",3,0.48101321810686,0.150400315581522,0,4,8
"t48",4,0.457754006033153,0,0,1,8
"t60",2,0.482177887348813,-0.097924229650155,1,4,13
"t60",3,0.417191955812993,-0.0328690549092614,1,4,7
"t60",4,0.394790045143949,0,0,1,7
"t72",2,0.47538441259833,-0.0369275782728494,1,4,13
"t72",3,0.435761663172655,0.0205079998897553,0,4,8
"t72",4,0.43475836259254,-0.0886558398278268,1,2,6
