"Omitted_time","Variable","Reference_group","Leave_one_out_group","Group_changed"
"t0","ZP2O5",1,1,FALSE
"t0","ZAl2O3",1,1,FALSE
"t0","ZCaO",2,2,FALSE
"t0","ZFe2O3",3,3,FALSE
"t0","ZK2O",2,2,FALSE
"t0","ZMgO",1,1,FALSE
"t0","ZNa2O",1,1,FALSE
"t0","ZSO3",2,2,FALSE
"t0","ZSiO2",2,2,FALSE
"t0","ZCd",3,2,TRUE
"t0","ZCr",2,2,FALSE
"t0","ZCu",2,2,FALSE
"t0","ZMn",2,2,FALSE
"t0","ZMo",1,3,TRUE
"t0","ZNi",2,2,FALSE
"t0","ZZn",3,3,FALSE
"t0","ZF",3,3,FALSE
"t12","ZP2O5",1,1,FALSE
"t12","ZAl2O3",1,1,FALSE
"t12","ZCaO",2,1,TRUE
"t12","ZFe2O3",3,3,FALSE
"t12","ZK2O",2,1,TRUE
"t12","ZMgO",1,1,FALSE
"t12","ZNa2O",1,1,FALSE
"t12","ZSO3",2,2,FALSE
"t12","ZSiO2",2,2,FALSE
"t12","ZCd",3,3,FALSE
"t12","ZCr",2,1,TRUE
"t12","ZCu",2,1,TRUE
"t12","ZMn",2,1,TRUE
"t12","ZMo",1,3,TRUE
"t12","ZNi",2,1,TRUE
"t12","ZZn",3,3,FALSE
"t12","ZF",3,3,FALSE
"t24","ZP2O5",1,1,FALSE
"t24","ZAl2O3",1,1,FALSE
"t24","ZCaO",2,2,FALSE
"t24","ZFe2O3",3,3,FALSE
"t24","ZK2O",2,2,FALSE
"t24","ZMgO",1,1,FALSE
"t24","ZNa2O",1,1,FALSE
"t24","ZSO3",2,2,FALSE
"t24","ZSiO2",2,2,FALSE
"t24","ZCd",3,3,FALSE
"t24","ZCr",2,2,FALSE
"t24","ZCu",2,2,FALSE
"t24","ZMn",2,2,FALSE
"t24","ZMo",1,1,FALSE
"t24","ZNi",2,2,FALSE
"t24","ZZn",3,3,FALSE
"t24","ZF",3,3,FALSE
"t36","ZP2O5",1,1,FALSE
"t36","ZAl2O3",1,1,FALSE
"t36","ZCaO",2,2,FALSE
"t36","ZFe2O3",3,3,FALSE
"t36","ZK2O",2,2,FALSE
"t36","ZMgO",1,1,FALSE
"t36","ZNa2O",1,1,FALSE
"t36","ZSO3",2,2,FALSE
"t36","ZSiO2",2,2,FALSE
"t36","ZCd",3,3,FALSE
"t36","ZCr",2,2,FALSE
"t36","ZCu",2,2,FALSE
"t36","ZMn",2,2,FALSE
"t36","ZMo",1,1,FALSE
"t36","ZNi",2,2,FALSE
"t36","ZZn",3,3,FALSE
"t36","ZF",3,3,FALSE
"t48","ZP2O5",1,1,FALSE
"t48","ZAl2O3",1,1,FALSE
"t48","ZCaO",2,2,FALSE
"t48","ZFe2O3",3,3,FALSE
"t48","ZK2O",2,2,FALSE
"t48","ZMgO",1,1,FALSE
"t48","ZNa2O",1,1,FALSE
"t48","ZSO3",2,2,FALSE
"t48","ZSiO2",2,2,FALSE
"t48","ZCd",3,3,FALSE
"t48","ZCr",2,2,FALSE
"t48","ZCu",2,2,FALSE
"t48","ZMn",2,2,FALSE
"t48","ZMo",1,1,FALSE
"t48","ZNi",2,2,FALSE
"t48","ZZn",3,3,FALSE
"t48","ZF",3,3,FALSE
"t60","ZP2O5",1,1,FALSE
"t60","ZAl2O3",1,1,FALSE
"t60","ZCaO",2,2,FALSE
"t60","ZFe2O3",3,3,FALSE
"t60","ZK2O",2,2,FALSE
"t60","ZMgO",1,1,FALSE
"t60","ZNa2O",1,1,FALSE
"t60","ZSO3",2,2,FALSE
"t60","ZSiO2",2,2,FALSE
"t60","ZCd",3,3,FALSE
"t60","ZCr",2,2,FALSE
"t60","ZCu",2,1,TRUE
"t60","ZMn",2,2,FALSE
"t60","ZMo",1,1,FALSE
"t60","ZNi",2,2,FALSE
"t60","ZZn",3,3,FALSE
"t60","ZF",3,3,FALSE
"t72","ZP2O5",1,1,FALSE
"t72","ZAl2O3",1,1,FALSE
"t72","ZCaO",2,2,FALSE
"t72","ZFe2O3",3,3,FALSE
"t72","ZK2O",2,2,FALSE
"t72","ZMgO",1,1,FALSE
"t72","ZNa2O",1,1,FALSE
"t72","ZSO3",2,2,FALSE
"t72","ZSiO2",2,2,FALSE
"t72","ZCd",3,3,FALSE
"t72","ZCr",2,2,FALSE
"t72","ZCu",2,2,FALSE
"t72","ZMn",2,2,FALSE
"t72","ZMo",1,1,FALSE
"t72","ZNi",2,2,FALSE
"t72","ZZn",3,3,FALSE
"t72","ZF",3,3,FALSE
