"Variable","Reference_group","Number_of_omissions_tested","Number_of_group_changes","Stability_percent","Sensitivity_class","Omitted_times_causing_change","Group_transitions"
"ZCu",2,7,2,71.4285714285714,"Sensitive","t12; t60","t12: 2 -> 1; t60: 2 -> 1"
"ZMo",1,7,2,71.4285714285714,"Sensitive","t0; t12","t0: 1 -> 3; t12: 1 -> 3"
"ZCaO",2,7,1,85.7142857142857,"Moderately sensitive","t12","t12: 2 -> 1"
"ZCd",3,7,1,85.7142857142857,"Moderately sensitive","t0","t0: 3 -> 2"
"ZCr",2,7,1,85.7142857142857,"Moderately sensitive","t12","t12: 2 -> 1"
"ZK2O",2,7,1,85.7142857142857,"Moderately sensitive","t12","t12: 2 -> 1"
"ZMn",2,7,1,85.7142857142857,"Moderately sensitive","t12","t12: 2 -> 1"
"ZNi",2,7,1,85.7142857142857,"Moderately sensitive","t12","t12: 2 -> 1"
"ZAl2O3",1,7,0,100,"Very stable","None","None"
"ZF",3,7,0,100,"Very stable","None","None"
"ZFe2O3",3,7,0,100,"Very stable","None","None"
"ZMgO",1,7,0,100,"Very stable","None","None"
"ZNa2O",1,7,0,100,"Very stable","None","None"
"ZP2O5",1,7,0,100,"Very stable","None","None"
"ZSiO2",2,7,0,100,"Very stable","None","None"
"ZSO3",2,7,0,100,"Very stable","None","None"
"ZZn",3,7,0,100,"Very stable","None","None"
