"Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6"
"ZP2O5",6.86497365825117,6.72237139996908,0.373952020955406,0.323182948689678,0.0449443834802085,5.25442102618271
"ZAl2O3",5.57671950860101,6.66946853670454,7.79348724747394,0.103754451752503,3.10110379905704,3.2216362834187
"ZCaO",8.60501394364345,0.146652480050733,3.93101095416454,0.445241482613298,0.261991488055416,40.9044715642156
"ZFe2O3",8.00642972825877,0.156594481533592,2.49763113653615,23.3893106604693,0.00102565585351937,0.000102127475838502
"ZK2O",7.4929293873033,2.06653857518338,5.14084232734201,6.89052046323579,5.48048685684692,1.82883021551769
"ZMgO",6.59805430592753,1.19083989824542,13.3109129607859,4.03900491111229,3.49780986306704,0.137241674783581
"ZNa2O",7.04189823798549,3.63654167023343,5.63612554486442,3.10322419543978,0.470283005171362,2.69804153722281
"ZSO3",1.66463071446436,18.4981473001905,2.34622976620709,0.0369671061374112,14.552513722913,9.39372811670787
"ZSiO2",3.45348262980876,13.8740508502254,1.89989327229908,0.56946959324187,13.5092401087333,25.0409072303429
"ZCd",3.2701477178418,13.7363419556521,4.4497114976657,0.237273315852281,11.0384111280447,0.369401962594296
"ZCr",8.84709013492801,1.05410265563712,1.11651700936605,3.22910624140798,0.678653438767301,0.0150327845380903
"ZCu",6.59876841541522,0.309614229415556,2.25429547742151,50.0272646001384,7.40705991583128,0.543060840125471
"ZMn",8.58468448005129,2.51751216082017,0.000565002157760111,0.192638052032252,0.613527097673328,4.42099344180156
"ZMo",0.538171939579694,13.6992368748781,20.2750333185744,0.179171504965764,10.5187761966701,2.80117780200422
"ZNi",5.42506197685449,9.16962970184762,0.00276597542271948,4.64907118493645,24.2310940033861,0.256469341633543
"ZZn",5.80426545648029,0.80927269747494,19.2038119126665,1.89864316391439,4.20377266362907,2.46509722343178
"ZF",5.62767776460538,5.74308453193828,9.76721457609679,0.686156124060517,0.389306672820394,0.649386828003302
