"Variable","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6"
"ZP2O5",0.713644224835441,0.274596478506992,0.00673632596567033,0.00160706518897834,7.07564914339406e-05,0.00334514901148457
"ZAl2O3",0.579724536314403,0.27243549407292,0.140390926018126,0.000515931203329313,0.00488210555809192,0.00205100683312966
"ZCaO",0.894529070498133,0.00599048344553433,0.0708127505079881,0.00221401559178172,0.000412456397105137,0.0260412235594569
"ZFe2O3",0.832303606912633,0.00639659587730458,0.0449920217966184,0.116306095692977,1.61470252775125e-06,6.50179388260352e-08
"ZK2O",0.778922986532035,0.0844142909817246,0.0926065048842744,0.0342639226955072,0.00862799734500918,0.00116429756144923
"ZMgO",0.68589678343723,0.0486436144431594,0.239781157955588,0.0200844265363572,0.00550664475623836,8.73728714256292e-05
"ZNa2O",0.732036313551918,0.148546022999358,0.101528476184317,0.0154311469658482,0.000740372274582172,0.00171766802397676
"ZSO3",0.173045688883795,0.755615214529698,0.0422646960301204,0.000183823279203216,0.022910199959268,0.00598037731791527
"ZSiO2",0.359004718302206,0.56672939940753,0.0342244450223653,0.00283175446969333,0.0212677615758942,0.0159419212223108
"ZCd",0.339946247337984,0.561104244940594,0.0801565586539289,0.00117986944461542,0.0173779053565112,0.000235174266366412
"ZCr",0.919693955970453,0.0430581501676851,0.0201128008403036,0.016057110231587,0.00106841239123679,9.57039873410874e-06
"ZCu",0.685971018261304,0.0126471704752223,0.0406086029968498,0.248766451833722,0.0116610248245143,0.000345731608386444
"ZMn",0.892415733286837,0.102835730552306,1.01778797618347e-05,0.000957915350264635,0.000965883197622002,0.00281455973320932
"ZMo",0.0559453416384084,0.559588570796901,0.365231970266665,0.000890951362547972,0.0165598377421947,0.0017833281932823
"ZNi",0.563959068437681,0.374562468439642,4.98259429454805e-05,0.0231180527706853,0.0381473070164727,0.000163277392574082
"ZZn",0.603378939036484,0.0330572977386365,0.345935118886738,0.00944122623854252,0.00661805060904408,0.00156936749055431
"ZF",0.585021871295651,0.234594415334666,0.175945408700119,0.00341199195580327,0.000612890246291222,0.00041342246746917
