"D_variable","Z_variable","Original_mean","Original_standard_deviation","Scaled_mean","Scaled_standard_deviation"
"DP2O5","ZP2O5",0.035946269237222,0.00506597637049144,4.20298716465238e-16,1
"DAl2O3","ZAl2O3",3.25587356796396,1.53171912599836,-5.55111512312578e-17,1
"DCaO","ZCaO",263.558382525197,67.2420999330023,-3.52892318541568e-16,1
"DFe2O3","ZFe2O3",0.0620558066093517,0.00268622070565712,3.96508223080413e-16,1
"DK2O","ZK2O",0.756236490350287,0.267935597620004,-2.37904933848248e-17,1
"DMgO","ZMgO",0.0363241541040413,0.00961031821700745,1.42742960308949e-16,1
"DNa2O","ZNa2O",2.12586451878791,0.734579205128975,2.03210464328712e-16,1
"DSO3","ZSO3",29.1242192381391,2.47608231572357,-4.44089209850063e-16,1
"DSiO2","ZSiO2",9.71254259899545,2.77971667861197,-2.22044604925031e-16,1
"DCd","ZCd",0.106775816013851,0.0207230623654751,-1.86358864847794e-16,1
"DCr","ZCr",0.125038875857484,0.0716433513202671,2.37904933848248e-17,1
"DCu","ZCu",0.0266715148307413,0.001848009369395,1.78428700386186e-17,1
"DMn","ZMn",0.0839944932357718,0.0446198631041269,6.34413156928661e-17,1
"DMo","ZMo",0.392211114644441,0.0826121610572736,-1.38777878078145e-17,1
"DNi","ZNi",0.0915196463303859,0.0389402338167199,-8.42579974045878e-17,1
"DZn","ZZn",0.0103517323122708,0.00352513018978863,-2.2997476938664e-16,1
"DF","ZF",0.851195866327239,0.94558177365637,4.16333634234434e-17,1
